现价,涨跌幅,股票代码,股票名称,概念
20.76,-2.4,603108,润达医疗,SPD概念市值龙头 AI制药（医疗） 医疗服务 
12.57,-1.49,300253,卫宁健康,蚂蚁概念人气龙头 信创 DRG/DIP 
12.55,0.08,002065,东华软件,水利建设人气龙头 军民融合 AI智能体 
1.27,-9.93,600811,东方集团,土地流转 跨境支付 
6.28,-0.32,002195,岩山科技,3天2板 AI智能体 机器人概念 
20.0,10.01,600588,用友网络,2天2板 新型工业化 北交所概念 
36.34,-10.0,002261,拓维信息,电商概念人气龙头 东数西算 华为欧拉 
12.83,10.03,603300,海南华铁,3天3板 低空经济 专用设备 
27.16,10.0,600602,云赛智联,今日首板 国家安防 军工 
4.52,6.6,002131,利欧股份,今日主力净流入领先 新能源车 AI智能体 
6.77,-1.88,002044,美年健康,精准医疗人气龙头 AI制药（医疗） 医疗服务 
22.55,10.0,601020,华钰矿业,4天3板 有色金属 小金属概念 
9.96,10.06,002093,国脉科技,2天2板 职业教育 AI智能体 
12.34,-1.2,600718,东软集团,昨日首板 DRG/DIP ChatGPT概念 
10.99,3.88,300058,蓝色光标,昨日首板 职业教育 AI智能体 
15.68,10.04,000409,云鼎科技,5天5板 军民融合 北斗导航 
4.06,10.03,000903,云内动力,2天2板 汽车零部件 燃料电池 
14.28,2.73,002456,欧菲光,今日主力净流入领先 纳米银 无人驾驶 
9.98,-2.63,603716,塞力医疗,AI制药（医疗） DRG/DIP 
8.01,10.03,002196,方正电机,3天2板 电机 特斯拉 
