股票代码,涨跌幅,股票名称,显示顺序,概念标签
002195,-0.3175,岩山科技,1,"DeepSeek概念, 脑机接口"
002065,0.0797,东华软件,2,"DRG/DIP, 东数西算(算力)"
600811,-9.9291,东方集团,3,"社区团购, 人造肉"
603300,10.0343,海南华铁,4,"算力租赁, 东数西算(算力)"
002261,-10.005,拓维信息,5,"DeepSeek概念, 华为欧拉"
603108,-2.3977,润达医疗,6,"华为盘古, 智能医疗"
600588,10.011,用友网络,7,"DeepSeek概念, 财税数字化"
600602,10.0041,云赛智联,8,"国资云, 算力租赁"
000409,10.0351,云鼎科技,9,"卫星导航, ERP概念"
002131,6.6038,利欧股份,10,"小红书概念, 快手概念"
000903,10.0271,云内动力,11,"农机, 人脸识别"
002456,2.7338,欧菲光,12,"车联网(车路协同), OLED"
300253,-1.489,卫宁健康,13,"DRG/DIP, DeepSeek概念"
002236,6.5457,大华股份,14,"网络安全, 信创"
002276,-1.021,万马股份,15,"人形机器人, 机器人概念"
002093,10.0552,国脉科技,16,"鸿蒙概念, 数字经济"
002044,-1.8841,美年健康,17,"家庭医生, 互联网医疗"
601020,10.0,华钰矿业,18,"金属锌, 金属铅"
600580,4.612,卧龙电驱,19,"人形机器人, 飞行汽车(eVTOL)"
600718,-1.201,东软集团,20,"DRG/DIP, 信创"
