代码,名称,最新价,涨跌额,涨跌幅,买入,卖出,昨收,今开,最高,最低,成交量,成交额,时间戳
bj430017,星昊医药,15.93,-0.04,-0.25,15.87,15.93,15.97,15.94,16.16,15.72,3784335.0,60337432.0,15:30:02
bj430047,诺思兰德,14.05,-0.01,-0.071,14.05,14.06,14.06,14.3,14.44,13.91,2842162.0,40233803.0,15:30:02
bj430090,同辉信息,7.9,0.0,0.0,7.89,7.9,7.9,7.93,8.25,7.7,17784888.0,141895869.0,15:30:02
bj430139,华岭股份,29.16,-0.34,-1.153,29.15,29.16,29.5,28.8,30.1,28.46,14440165.0,422432455.0,15:30:02
bj430198,微创光电,16.06,-0.09,-0.557,16.05,16.06,16.15,16.56,17.25,15.72,12412574.0,203394170.0,15:30:02
bj430300,辰光医疗,16.47,-0.25,-1.495,16.46,16.47,16.72,16.79,17.27,16.2,7433849.0,124847748.0,15:30:02
bj430418,苏轴股份,43.74,-2.83,-6.077,43.73,43.74,46.57,45.0,46.28,43.34,10632850.0,471586832.0,15:30:02
bj430425,乐创技术,34.6,0.9,2.671,34.6,34.61,33.7,33.0,38.97,32.09,11522889.0,410811048.0,15:30:02
bj430476,海能技术,13.16,0.0,0.0,13.16,13.17,13.16,13.11,13.58,12.71,4297141.0,56232912.0,15:30:02
bj430478,峆一药业,20.48,-0.27,-1.301,20.48,20.49,20.75,20.81,21.14,20.28,2839703.0,58916654.0,15:30:02
bj430489,佳先股份,23.67,-0.93,-3.78,23.67,23.68,24.6,24.27,24.46,22.89,11833183.0,281787003.0,15:30:02
bj430510,丰光精密,26.62,1.27,5.01,26.62,26.65,25.35,24.79,27.24,24.76,11006205.0,286258985.0,15:30:02
bj430556,雅达股份,12.03,-0.61,-4.826,12.03,12.04,12.64,12.1,12.44,11.77,16853293.0,204637506.0,15:30:02
bj430564,天润科技,25.21,0.08,0.318,25.21,25.5,25.13,25.11,27.25,24.5,4896602.0,126983553.0,15:30:02
bj430685,新芝生物,13.69,-0.21,-1.511,13.68,13.69,13.9,13.88,14.48,13.53,3468777.0,48597878.0,15:30:02
bj430718,合肥高科,17.72,0.23,1.315,17.72,17.73,17.49,17.5,18.05,17.27,2563935.0,45499030.0,15:30:02
bj830779,武汉蓝电,64.63,-9.97,-13.365,64.63,64.64,74.6,70.0,71.0,63.75,5848721.0,394183208.0,15:30:02
bj830799,艾融软件,58.91,-3.09,-4.984,58.91,58.92,62.0,60.67,60.8,58.67,6865897.0,410250470.0,15:30:02
bj830809,安达科技,6.34,-0.16,-2.462,6.33,6.34,6.5,6.59,6.59,6.27,16315308.0,104747005.0,15:30:02
bj830832,齐鲁华信,7.5,0.03,0.402,7.5,7.53,7.47,7.46,7.77,7.43,3600328.0,27392141.0,15:30:02
bj830839,万通液压,28.38,2.95,11.6,28.38,28.39,25.43,25.31,28.57,24.81,5740596.0,155949240.0,15:30:02
bj830879,基康仪器,17.02,-0.48,-2.743,17.02,17.09,17.5,17.72,19.3,16.78,6513794.0,117118756.0,15:30:02
bj830896,旺成科技,24.01,1.8,8.104,24.01,24.02,22.21,21.78,24.4,21.41,8571796.0,199322530.0,15:30:02
bj830946,森萱医药,10.28,-0.09,-0.868,10.27,10.28,10.37,10.3,10.45,10.12,5589309.0,57546834.0,15:30:02
bj830964,润农节水,8.25,-0.12,-1.434,8.25,8.26,8.37,8.39,8.52,8.14,11441802.0,95607560.0,15:30:02
bj830974,凯大催化,9.08,0.55,6.448,9.08,9.09,8.53,8.48,9.09,8.48,10273507.0,91171938.0,15:30:02
bj831010,凯添燃气,12.9,0.35,2.789,12.89,12.9,12.55,12.23,13.68,11.91,23986869.0,303747884.0,15:30:02
bj831039,国义招标,9.83,-0.12,-1.206,9.83,9.84,9.95,9.95,10.14,9.76,2027539.0,20173816.0,15:30:02
bj831087,秋乐种业,13.29,-0.28,-2.063,13.28,13.29,13.57,13.57,13.78,13.13,6813450.0,91646571.0,15:30:02
bj831152,昆工科技,21.07,-0.84,-3.834,21.05,21.07,21.91,22.39,23.58,21.0,6856628.0,153119666.0,15:30:02
bj831167,鑫汇科,31.11,-1.76,-5.354,31.1,31.11,32.87,31.89,32.98,30.91,4814334.0,152941181.0,15:30:02
bj831175,派诺科技,25.47,-0.41,-1.584,25.46,25.47,25.88,25.3,27.27,24.48,10705258.0,278426516.0,15:30:02
bj831195,三祥科技,15.48,1.03,7.128,15.47,15.48,14.45,14.75,15.95,14.45,8102275.0,124267484.0,15:30:02
bj831278,泰德股份,15.3,0.57,3.87,15.29,15.3,14.73,14.65,16.0,14.41,14277715.0,218364701.0,15:30:02
bj831304,迪尔化工,14.15,0.16,1.144,14.14,14.15,13.99,13.99,14.67,13.81,8444395.0,120644103.0,15:30:02
bj831305,海希通讯,19.8,0.02,0.101,19.8,19.81,19.78,19.66,20.69,19.1,6167455.0,123175277.0,15:30:02
bj831370,新安洁,4.35,-0.21,-4.605,4.34,4.35,4.56,4.47,4.6,4.26,15785055.0,70384154.0,15:30:02
bj831396,许昌智能,13.5,0.2,1.504,13.5,13.51,13.3,13.01,13.55,12.87,15389460.0,203876087.0,15:30:02
bj831445,龙竹科技,9.06,-0.04,-0.44,9.05,9.06,9.1,9.17,9.3,8.96,5867516.0,53740594.0,15:30:02
bj831526,凯华材料,33.58,-0.23,-0.68,33.57,33.58,33.81,33.41,34.38,32.7,2633305.0,88297084.0,15:30:02
bj831627,力王股份,31.69,-2.44,-7.149,31.68,31.69,34.13,32.99,33.89,31.46,6929100.0,226029508.0,15:30:02
bj831641,格利尔,17.27,-0.11,-0.633,17.27,17.31,17.38,17.2,18.39,16.83,4709570.0,83301156.0,15:30:02
bj831689,克莱特,25.01,-0.13,-0.517,25.01,25.04,25.14,25.3,25.95,24.64,2690642.0,68340818.0,15:30:02
bj831726,朱老六,22.7,-0.37,-1.604,22.7,22.71,23.07,22.5,23.48,22.39,4652113.0,106679463.0,15:30:02
bj831768,拾比佰,10.31,-0.35,-3.283,10.31,10.33,10.66,10.83,11.2,9.99,10409435.0,109281909.0,15:30:02
bj831832,科达自控,37.79,3.01,8.654,37.79,37.8,34.78,34.78,41.8,34.78,13697082.0,524949100.0,15:30:02
bj831834,三维股份,10.84,0.56,5.447,10.84,10.85,10.28,10.29,11.66,10.17,6116955.0,66455798.0,15:30:02
bj831855,浙江大农,20.86,-0.36,-1.697,20.86,20.87,21.22,21.3,21.6,20.8,2860605.0,60687728.0,15:30:02
bj831856,浩淼科技,37.38,6.18,19.808,37.37,37.38,31.2,29.9,39.9,29.36,19496218.0,683815149.0,15:30:02
bj831906,舜宇精工,28.8,0.0,0.0,28.79,28.8,28.8,28.56,31.3,28.01,5777788.0,169336956.0,15:30:02
bj831961,创远信科,21.08,-0.39,-1.816,21.08,21.09,21.47,21.1,22.49,20.7,14764425.0,317251727.0,15:30:02
bj832000,安徽凤凰,23.79,-0.06,-0.252,23.79,23.8,23.85,24.23,24.45,23.5,3138386.0,75509634.0,15:30:02
bj832023,田野股份,5.87,0.17,2.982,5.86,5.87,5.7,5.75,5.94,5.63,35027027.0,203001285.0,15:30:02
bj832089,禾昌聚合,17.86,1.46,8.902,17.85,17.86,16.4,16.2,18.59,16.0,15443749.0,268766075.0,15:30:02
bj832110,雷特科技,36.41,0.38,1.055,36.41,36.42,36.03,35.8,36.92,35.6,927923.0,33737755.0,15:30:02
bj832145,恒合股份,15.6,0.05,0.322,15.59,15.6,15.55,15.78,16.77,15.11,5675303.0,89131055.0,15:30:02
bj832149,利尔达,18.01,-2.47,-12.061,18.01,18.02,20.48,19.3,20.35,17.98,40396772.0,766238315.0,15:30:02
bj832171,志晟信息,29.72,-1.8,-5.711,29.71,29.72,31.52,29.9,31.52,29.34,10984961.0,331893508.0,15:30:02
bj832175,东方碳素,13.06,0.24,1.872,13.05,13.06,12.82,12.62,13.67,12.61,8638112.0,114175267.0,15:30:02
bj832225,利通科技,13.93,0.19,1.383,13.93,13.96,13.74,13.85,14.38,13.64,4200467.0,59045313.0,15:30:02
bj832278,鹿得医疗,9.65,-0.27,-2.722,9.65,9.66,9.92,9.92,10.07,9.6,5167447.0,50951205.0,15:30:02
bj832419,路斯股份,17.16,0.66,4.0,17.15,17.16,16.5,16.49,17.9,16.49,4554161.0,78874552.0,15:30:02
bj832469,富恒新材,15.74,1.1,7.514,15.74,15.75,14.64,14.63,16.49,14.43,17105824.0,264359055.0,15:30:02
bj832471,美邦科技,16.27,-0.89,-5.186,16.27,16.31,17.16,16.6,17.24,16.08,5346633.0,88914578.0,15:30:02
bj832491,奥迪威,36.29,-0.46,-1.252,36.29,36.3,36.75,36.1,37.59,35.56,11306244.0,414179564.0,15:30:02
bj832522,纳科诺尔,62.59,-2.11,-3.261,62.59,62.6,64.7,63.82,65.43,61.6,5570678.0,352843295.0,15:30:02
bj832566,梓橦宫,11.09,-0.15,-1.335,11.09,11.1,11.24,11.25,11.46,11.03,5806065.0,65376904.0,15:30:02
bj832651,天罡股份,28.99,1.79,6.581,28.98,28.99,27.2,26.26,29.5,26.26,4006004.0,113505202.0,15:30:02
bj832662,方盛股份,27.94,-1.56,-5.288,27.93,27.94,29.5,28.8,29.5,27.7,4620903.0,132426243.0,15:30:02
bj832735,德源药业,36.83,0.63,1.74,36.83,36.84,36.2,36.03,37.21,35.46,2597102.0,94836915.0,15:30:02
bj832786,骑士乳业,8.49,0.17,2.043,8.48,8.49,8.32,8.33,8.69,8.25,15344539.0,129545828.0,15:30:02
bj832802,保丽洁,20.28,0.57,2.892,20.25,20.28,19.71,19.65,20.3,19.51,1805909.0,36138442.0,15:30:02
bj832876,慧为智能,34.35,-2.24,-6.122,34.34,34.35,36.59,36.01,37.22,34.05,5592266.0,198721451.0,15:30:02
bj832885,星辰科技,17.25,0.18,1.054,17.24,17.25,17.07,17.03,17.77,16.64,9793959.0,168281686.0,15:30:02
bj832978,开特股份,24.13,-0.6,-2.426,24.13,24.14,24.73,24.67,24.88,23.8,7123305.0,174008771.0,15:30:02
bj832982,锦波生物,246.07,-2.76,-1.109,246.07,246.9,248.83,245.77,256.0,244.01,803995.0,201636807.0,15:30:02
bj833030,立方控股,37.03,8.54,29.975,37.03,0.0,28.49,32.99,37.03,32.56,17727274.0,635686045.0,15:30:02
