序号,代码,名称,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,振幅,昨日封板时间,昨日连板数,涨停统计,所属行业
1,603657,春光科技,-4.681330680847168,16.9,19.5,221993352,2284711845.0,2305993592.5,9.745539665222168,1.2582385540008545,4.230118751525879,144557,1,4/2,家电行业
2,603220,中贝通信,-1.9822282791137695,28.68,32.19,2860710576,12446498274.96,12446498217.6,22.38547134399414,1.1640211343765259,7.006152153015137,141213,1,2/1,通信服务
3,603166,福达股份,-2.552204132080078,12.6,14.22,1138155488,8051509002.599999,8142229065.599999,13.842262268066406,1.1235954761505127,8.275328636169434,130015,2,3/2,汽车零部
4,600590,泰豪科技,8.186046600341797,11.63,11.83,1934983824,9810713552.49,9918875122.720001,20.13163185119629,1.0425716638565063,9.116279602050781,093036,2,3/2,电网设备
5,603012,创力集团,-4.644412040710449,6.57,7.58,752462464,4247505000.0,4275493200.0,17.137928009033203,0.7668711543083191,13.207547187805176,095137,1,4/2,专用设备
6,000570,苏常柴Ａ,-3.8016529083251953,5.82,6.66,400006880,3234130390.7400002,4107130419.84,12.302611351013184,0.5181347131729126,3.966942071914673,093718,1,2/1,汽车零部
7,600592,龙溪股份,4.6875,20.1,21.12,1928653552,8031026777.1,8031026716.8,24.465057373046875,0.4497750997543335,12.656250953674316,093001,3,8/5,通用设备
8,002765,蓝黛科技,-2.4844720363616943,14.13,15.94,1930493728,8419662740.700001,9214569996.480001,22.592485427856445,0.4264392554759979,7.315389633178711,105121,1,2/1,光学光电
9,002283,天润工业,-3.4793813228607178,7.49,8.54,972939024,7500990781.06,8534534308.16,12.665966987609863,0.40214475989341736,7.603092670440674,130130,1,2/1,汽车零部
10,003005,竞业达,-3.244180202484131,39.07,44.42,419127200,2884189673.7400002,6457397277.59,14.353951454162598,0.3596198260784149,5.027241230010986,135736,1,2/1,互联网服
11,002101,广东鸿图,0.8462623953819275,14.3,15.6,848127680,9469419945.7,9504484017.6,8.971280097961426,0.35087719559669495,6.417489051818848,093951,1,2/1,汽车零部
12,000935,四川双马,-1.4100395441055298,17.48,19.5,342344160,13344937020.84,13344937073.28,2.556588888168335,0.34443166851997375,3.1584885120391846,145139,1,2/1,水泥建材
13,002706,良信股份,1.2035011053085327,9.25,10.05,1084284992,8460885071.5,10388906472.0,12.930891036987305,0.3253796100616455,4.485776424407959,133418,1,2/1,电网设备
14,002042,华孚时尚,4.603174686431885,6.59,6.93,1222981888,11207490129.449999,11207490162.4,10.941001892089844,0.3044140040874481,8.571429252624512,101509,1,2/1,纺织服装
15,002153,石基信息,-1.6055045127868652,8.58,9.59,849378816,13725973438.32,23416483147.2,6.072474479675293,0.23364485800266266,5.504587173461914,140224,1,2/1,软件开发
16,002276,万马股份,-1.0209869146347046,17.45,19.39,5058525952,17538704213.2,17699357708.0,28.663681030273438,0.2297530174255371,8.33806037902832,105303,1,8/5,电网设备
17,002609,捷顺科技,-1.0729613304138184,9.22,10.25,563737152,4235719549.0200005,5950189400.96,13.04100513458252,0.21739129722118378,7.29613733291626,095721,1,2/1,互联网服
18,002892,科力尔,-1.6511868238449097,19.06,21.32,1262936704,7557210691.339999,11832464772.8,16.564573287963867,0.21030493080615997,4.076367378234863,102221,1,2/1,电机
19,603618,杭电股份,-5.918619155883789,7.63,8.92,1007678928,5275195950.08,5275195950.08,18.09954071044922,0.1312336027622223,15.289765357971191,093101,2,3/2,电网设备
20,603348,文灿股份,-0.07751937955617905,25.78,28.38,697344464,8107222009.76,8107222216.0,8.532209396362305,0.11650485545396805,4.534883975982666,100002,1,2/1,汽车零部
