游资,代码,股票,净额(万元)
赵老哥,300311,任子行,-2121.26
章盟主,600602,云赛智联,23738.43
章盟主,002575,群兴玩具,1282.74
章盟主,836263,中航泰达,-714.63
章盟主,600361,创新新材,-2368.77
章盟主,300311,任子行,-2526.01
章盟主,301208,中亦科技,-3291.20
章盟主,603300,海南华铁,-66218.33
炒股养家,000409,云鼎科技,3211.51
炒股养家,300515,三德科技,826.79
炒股养家,600302,标准股份,717.12
炒股养家,002336,*ST人乐,139.45
炒股养家,605069,正和生态,-1031.01
徐留胜,688333,铂力特,17697.95
徐留胜,001339,智微智能,-2478.24
炒新一族,002336,*ST人乐,161.59
炒新一族,002052,*ST同洲,-108.71
上塘路,600714,金瑞矿业,3860.98
上塘路,835579,机科股份,-332.07
上塘路,000409,云鼎科技,-2266.29
湖州劳动路,002093,国脉科技,1696.69
苏南帮,300311,任子行,2280.00
苏南帮,301208,中亦科技,1081.20
苏南帮,601956,东贝集团,183.22
温州帮,002093,国脉科技,975.91
温州帮,000903,云内动力,199.59
温州帮,838810,春光药装,-125.07
温州帮,002336,*ST人乐,-181.55
温州帮,871245,威博液压,-426.10
温州帮,300515,三德科技,-1213.56
温州帮,605286,同力日升,-1314.38
温州帮,603200,上海洗霸,-1321.76
温州帮,002361,神剑股份,-1480.67
温州帮,002052,*ST同洲,-1843.24
温州帮,605066,天正电气,-2132.36
温州帮,001339,智微智能,-6102.46
杭州帮,833030,立方控股,-2036.21
山东帮,600588,用友网络,6589.85
山东帮,002575,群兴玩具,-4456.62
敢死队,002326,永太科技,1793.34
量化打板,300515,三德科技,1781.18
量化打板,600397,安源煤业,769.12
量化打板,002575,群兴玩具,376.28
量化打板,001333,光华股份,320.68
量化打板,000903,云内动力,256.48
量化打板,605069,正和生态,204.74
量化打板,300840,酷特智能,-322.29
量化打板,001319,铭科精技,-644.99
量化打板,301287,康力源,-725.24
量化打板,603618,杭电股份,-1182.73
量化打板,603270,金帝股份,-1317.10
量化打板,301208,中亦科技,-1900.45
欢乐海岸,603048,浙江黎明,1411.28
欢乐海岸,830779,武汉蓝电,309.18
欢乐海岸,831856,浩淼科技,-305.05
欢乐海岸,605066,天正电气,-1864.31
上海溧阳路,836263,中航泰达,-768.65
一瞬流光,000409,云鼎科技,-6898.03
徐晓,300953,震裕科技,6932.63
徐晓,002261,拓维信息,-11207.98
牛散唐汉若,603300,海南华铁,7263.08
牛散唐汉若,002093,国脉科技,-871.26
粉葛,601956,东贝集团,503.74
粉葛,833030,立方控股,-2517.14
上海超短帮,605069,正和生态,-412.36
成都系,301287,康力源,-3367.10
成都系,300311,任子行,-6248.87
作手新一,002575,群兴玩具,3268.01
作手新一,000903,云内动力,2812.82
作手新一,001333,光华股份,1852.34
作手新一,600589,大位科技,-5674.44
陈小群,600602,云赛智联,12998.46
陈小群,605100,华丰股份,1970.85
瑞鹤仙,301287,康力源,379.11
益田路,001368,通达创智,-1605.71
落升(江南神鹰),300840,酷特智能,-3559.76
竞价抢筹,300311,任子行,4415.73
竞价抢筹,605066,天正电气,3126.04
竞价抢筹,603496,恒为科技,2758.53
竞价抢筹,002575,群兴玩具,1647.10
竞价抢筹,605100,华丰股份,1422.93
竞价抢筹,000678,襄阳轴承,-896.79
竞价抢筹,002227,奥 特 迅,-1048.84
