现价,涨跌幅,股票代码,股票名称,概念
6.97,9.94,002195,岩山科技,5天3板 人脑工程 短剧互动游戏 
1.03,-9.65,600811,东方集团,跨境支付 电子身份证 
13.18,8.57,600126,杭钢股份,国资云概念人气龙头 国资云概念 数据中心 
8.56,10.03,600589,大位科技,13天9板 数据中心 算力概念 
12.22,5.8,603300,海南华铁,5天3板 算力概念 央国企改革 
40.22,10.01,603881,数据港,今日首板 国资云概念 东数西算 
34.53,1.56,002261,拓维信息,手游概念人气龙头 东数西算 云计算 
9.69,9.99,002196,方正电机,5天4板 电机 央国企改革 
28.76,4.05,600602,云赛智联,国资云概念人气龙头 国资云概念 腾讯云 
4.46,10.12,000903,云内动力,4天3板 发电机概念 西部大开发 
30.34,10.01,605100,华丰股份,13天10板 发电机概念 数据中心 
33.42,10.01,000831,中国稀土,今日首板 小金属 小金属概念 
3.87,7.2,002426,胜利精密,今日主力净流入领先 复合集流体 AI眼镜 
11.44,10.0,000678,襄阳轴承,8天4板 军工 湖北自贸 
6.38,10.0,000665,湖北广电,4天4板 广电 彩票概念 
13.84,10.02,600718,东软集团,4天2板 尾气治理 新型工业化 
10.44,10.01,002292,奥飞娱乐,今日首板 影视概念 谷子经济 
13.31,10.0,000815,美利云,今日首板 国资云概念 东数西算 
15.16,7.44,000409,云鼎科技,7天5板 北斗导航 军民融合 
12.08,10.02,603716,塞力医疗,4天2板 人脑工程 工业大麻 
