股票代码,涨跌幅,股票名称,显示顺序,概念标签
600811,-9.6491,东方集团,1,"人造肉, 社区团购"
002195,9.9369,岩山科技,2,"云计算, 脑机接口"
600589,10.0257,大位科技,3,"算力租赁, 东数西算(算力)"
603881,10.0109,数据港,4,"国资云, 东数西算(算力)"
002693,-9.9928,双成药业,5,"海南自贸区, 辅助生殖"
603300,5.8009,海南华铁,6,"算力租赁, 东数西算(算力)"
600126,8.5667,杭钢股份,7,"DeepSeek概念, 算力租赁"
000831,10.0066,中国稀土,8,"稀土永磁, 小金属概念"
000903,10.1235,云内动力,9,"农机, 人脸识别"
000678,10.0,襄阳轴承,10,"减速器, 农机"
002261,1.5588,拓维信息,11,"DeepSeek概念, 华为欧拉"
605100,10.0073,华丰股份,12,"数据中心, 农机"
300296,11.3416,利亚德,13,"AI眼镜, 人形机器人"
002065,1.018,东华软件,14,"DRG/DIP, 东数西算(算力)"
600718,10.0159,东软集团,15,"DRG/DIP, AI智能体"
000409,7.4415,云鼎科技,16,"ERP概念, 华为盘古"
600602,4.0521,云赛智联,17,"国资云, 算力租赁"
002105,10.0118,信隆健康,18,"共享单车, 体育产业"
000665,10.0,湖北广电,19,"在线教育, 文化传媒概念"
002196,9.9886,方正电机,20,"特斯拉概念, 机器人概念"
