股票代码,股票名称,排名,题材,详情,市场表现
300024,机器人,1,公司主营：从事工业机器人、物流与仓储自动化成套装备、自动化装配与检测生产线及系统集成、交通自动化系统等产品的设计、制造和销售。,"军工,智能物流",
002105,信隆健康,2,公司主营：主要经营自行车零配件、运动健身康复器材的开发、生产和销售。,"共享单车,两轮车",6连板
000665,湖北广电,3,公司主营：有线电视网络运营,"国资云,算力租赁",4连板
605100,华丰股份,4,公司主营：柴油发动机、核心零部件和智能化发电机组的研发、制造与销售，以及通信基站发电机组等电源设施的综合运维服务。,"农机,数据中心",13天10板
002760,凤形股份,5,公司主营：耐磨材料的研发、生产、销售和技术服务。,"军工,海工装备",4连板
002195,岩山科技,6,"公司主营：互联网信息服务,互联网金融服务","短剧游戏,脑机接口",5天3板
600589,大位科技,7,公司主营：生产销售ML 复合新材料、甲醛等化工材料及其制品。,"算力租赁,摘帽",13天9板
603881,数据港,8,公司主营：数据中心服务器托管服务及网络带宽服务,"国资云,东数西算(算力)",首板
603716,塞力医疗,9,公司主营：公司专注于集约化销售、单纯销售以及自主体外诊断产品的研发、生产和销售。,"生物疫苗,网络安全",2连板
600478,科力远,10,公司主营：连续化带状泡沫镍及系列产品的研制、开发、生产、销售并提供相关技术咨询服务。,"共享单车,锂电池概念",
002196,方正电机,11,公司主营：微特电机的研究开发、生产及销售;同时经营相关设备、产品的进出口业务。,"国企改革,家用电器",5天4板
002279,久其软件,12,"公司主营：报表管理软件、电子政务软件、集团管控软件、商业智能软件等管理软件的研究和开发,为政府部门、企事业单位提供财务决算、统计及决策分析、财务业务一体化管理、全面预算管理、合并报表、关联交易核对、资产管理等相关方面的解决方案。","乡村振兴,网红经济",
603300,海南华铁,13,公司主营：建筑安全支护设备租赁,"国资云,算力租赁",5天3板
000678,襄阳轴承,14,"公司主营：制造销售轴承及零部件,汽车零部件,机电设备,轴承设备及备件,承揽机械工业基础设计,轴承工程设计,汽车电器修理,技术转让,劳务服务等。","军民融合,军工",8天4板
300432,富临精工,15,公司主营：从事汽车发动机精密零部件的研发、生产和销售。,"西部大开发,盐湖提锂",
605069,正和生态,16,公司主营：生态保护、生态修复、水环境治理、生态景观建设等。,"乡村振兴,土壤修复",4天3板
600610,中毅达,17,"公司主营：园林工程施工,市政工程施工及销售苗木业务","西部大开发,中字头股票",2连板
000409,云鼎科技,18,公司主营：铁矿石开采、加工和铁精粉的销售,"军民融合,卫星导航",7天5板
600126,杭钢股份,19,"公司主营：钢铁及压延产品、焦炭及其副产品的生产、销售;冶金、焦化的技术开发、协作、咨询、服务与培训,经营进出口业务(国家法律法规限制或禁止的项目除外),建筑施工,起重机械、压力容器管道特种设备制作、安装、检修(凭有效许可证件经营)。","国资云,算力租赁",
605155,西大门,20,公司主营：阳光面料、全遮光涂层面料、半遮光涂层面料、可调光面料。,"电子商务,建筑节能",2连板
